id,wholeName
1,Robert Gabriel Mugabe
380,Abou Ali
19,Abu Ali
17,Saddam Hussein Al-Tikriti
381,Qoussaï Saddam Hussein Al-Tikriti
26,Qusay Saddam Hussein Al-Tikriti
29,Uday Saddam Hussein Al-Tikriti
383,Oudaï Saddam Hussein Al-Tikriti
384,Abid Hamid Mahmoud Al-Tikriti
35,Abed Mahmoud Hammud
385,Abid Hamid Bid Hamid Mahmoud
34,Abdel Hamid Mahmoud
32,Abid Hamid Bid Hamid Mahmud
31,Abid Hamid Mahmud Al-Tikriti
386,Abed Mahmoud Hammoud
39,Ali Hassan Al-Majid Al-Tikriti
40,Al-Kimawi
52,Abu Brays
54,Abu Brays
55,Abu Ahmad
56,Abu Ahmad
244,Izzat Ibrahim Al-Duri
387,Izzat Ibrahim al-Douri
44,Izzat Ibrahim al-Duri
45,Abu Brays
46,Abu Ahmad
49,Izzat Ibrahim al-Duri
51,Izzat Ibrahim al-Duri
388,Hani Abdel-Latif Tilfah Al-Tikriti
59,Hani Abd-Al-Latif Tilfah Al-Tikriti
64,Aziz Salih al-Numan
389,Aziz Salih al-Nouman
390,Aziz Salih al-Numan
245,Aziz Salih Al-Numan
63,Aziz Salih al-Numan
65,Aziz Salih al-Numan
391,Mohammed Hamza Zoubaïdi
68,Muhammad Hamza Zubaidi
72,Kamal Mustafa Abdallah
246,Kamal Mustafa Abdallah Sultan Al-Tikriti
392,Kamal Moustafa Abdallah
393,Kamal Moustafa Abdallah Soultan al-Tikriti
74,Kamal Mustafa Abdallah Sultan al-Tikriti
75,Kamal Mustafa Abdallah Sultan al-Tikriti
73,Kamal Mustafa Abdallah
79,Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti
394,Barzan Abdel Ghafour Souleiman Majid Al-Tikriti
247,Barzan Razuki Abd Al-Ghafur
80,Barzan Razuki Abd al-Ghafur
395,Barzan Razuki Abdel Ghafour
81,Muzahim Sa'b Hassan Al-Tikriti
82,Muzahim Sa'b Hassan Al-Tikriti
396,Muzahem Saab Hassan Al-Tikriti
397,Ibrahim Ahmed Abdel Sattar Mohammed Al-Tikriti
87,Ibrahim Ahmad Abd al-Sattar Muhammed Al-Tikriti
89,Saif-al-Din Fulayyih Hassan Taha Al-Rawi
398,Saïf-al-Din Foulaï Hassan Taha Al-Raoui
399,Ayad Foutaï Al-Raoui
91,Ayad Futayyih Al-Rawi
400,Rafi Abdel Latif Tilfa Al-Tikriti
94,Rafi Abd-al-Latif Tilfah Al-Tikriti
96,Tahir Jalil Habbush Al-Tikriti
97,Tahir Jalil Habbush Al-Tikriti
401,Tahir Jalil Habbouch Al-Tikriti
99,Hamid Raja Shalah Al-Tikriti
402,Hamid Raja Chala Al-Tikriti
101,Hamid Raja-Shalah Hassum Al-Tikriti
100,Hassan Al-Tikriti
403,Hamid Raja-Chala Hassoum Al-Tikriti
102,Latif Nusayyif Jasim Al-Dulaymi
103,Latif Nusayyif Jasim Al-Dulaymi
404,Latif Noussaïf Jassim Al-Doulaïmi
104,Abd-al-Tawwab Mullah Huwaysh
105,Abd-al-Tawwab Mullah Huwaysh
405,Abdel-Taouab Moullah Houwaïch
101492,Grace Mugabe
406,Taha Yassine Ramadan Al-Jizraoui
107,Taha Yassin Ramadan Al-Jizrawi
409,Roukan Razouki Abdel-Ghafar Al-Majid
410,Roukan Abdel-Ghaffar al-Majid Al-Tikriti Abou Walid
111,Rukan Razuqi Abd al-Ghafur Al-Majid
407,Roukan Razouki Abdel-Ghafar Souleiman Al-Tikriti
109,Rukan Razuki Abd-al-Ghafur Sulaiman Al-Tikriti
110,Rukan Abdal-Ghaffur Sulayman al-Majid
408,Roukan Abdel-Ghaffar Souleiman al-Majid
113,Rukan Abd al-Ghaffur al-Majid Al-Tikriti Abu Walid
248,Rukan Abdal-Ghaffur Sulayman Al-Majid
249,Rukan Razuqi Abd Al-Ghafur Al-Majid
250,Rukan Abd Al-Ghaffur Al-Majid Al-Tikriti Abu Walid
115,Jamal Mustafa Abdallah Sultan Al-Tikriti
243,Jamal Mustafa Abdallah Sultan al-Tikriti
412,Jamal Moustafa Abdallah Soultan Al-Tikriti
119,Mizban Khadr Hadi
413,Taha Mouhi-al-Din Marouf
122,Taha Muhyi-al-Din Ma'ruf
125,Tariq Mikhail Aziz
1388,Tarek Mikhail Aziz
414,Tarek Aziz
124,Tariq Aziz
128,Walid Hamid Tawfiq al-Nasiri
1261,Walid Hamid Tawfik al-Nasiri
127,Walid Hamid Tawfiq Al-Tikriti
415,Walid Hamid Tawfik Al-Tikriti
251,Walid Hamid Tawfiq Al-Nasiri
416,Soultan Hachim Ahmed Al-Tai
129,Sultan Hashim Ahmad Al-Ta'i
417,Hikmat Mizban Ibrahim al-Azzaoui
132,Hikmat Mizban Ibrahim al-Azzawi
133,Mahmud Dhiyab Al-Ahmed
418,Mahmoud Dhiab Al-Ahmed
135,Ayad Futayyih Khalifa Al-Rawi
134,Ayad Futayyih Khalifa Al-Rawi
419,Zouheir Taleb Abdel Sattar al-Nakib
136,Zuhair Talib Abd-al-Sattar Al-Naqib
139,Amir Hamudi Hassan Al-Sa'di
420,Amir Hamoudi Hassan Al-Sadi
138,Amir Hamudi Hassan Al-Sa'di
137,Amir Hamudi Hassan Al-Sa'di
421,Amir Rachid Mohammed Al-Oubaïdi
140,Amir Rashid Muhammad Al-Ubaidi
141,Amir Rashid Muhammad Al-Ubaidi
422,Houssam Mohammed Amin Al-Yassine
142,Husam Muhammad Amin Al-Yassin
423,Mohammed Mahdi Al-Saleh
143,Muhammad Mahdi Al-Salih
144,Muhammad Mahdi Al-Salih
145,Sab'awi Ibrahim Hassan Al-Tikriti
147,Sab'awi Ibrahim Hassan Al-Tikriti
424,Sabaoui Ibrahim Hassan Al-Tikriti
146,Sab'awi Ibrahim Hassan Al-Tikriti
148,Watban Ibrahim Hassan Al-Tikriti
151,Watab Ibrahim al-Hassan
152,Watab Ibrahim al-Hassan
150,Watban Ibrahim Hassan Al-Tikriti
155,Barzan Ibrahim Hassan Al-Tikriti
154,Barzan Ibrahim Hassan Al-Tikriti
153,Barzan Ibrahim Hassan Al-Tikriti
159,Huda Salih Mahdi Ammash
157,Huda Salih Mahdi Ammash
158,Huda Salih Mahdi Ammash
156,Huda Salih Mahdi Ammash
425,Houda Sali Mahdi Ammach
161,Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa'dun
162,Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa'dun
163,Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa'dun
426,Abdel-Baki Abdel-Karim Abdalla Al-Sadoun
427,Mohammed Zimam Abdel-Razzak Al-Sadoun
164,Muhammad Zimam Abd-al-Razzaq Al-Sa'dun
165,Muhammad Zimam Abd-al-Razzaq Al-Sa'dun
252,Samir Abd Al-Aziz Al-Najim
169,Samir Abd al-Aziz Al-Najim
428,Samir Abdel-Aziz Al-Najim
170,Humam Abd-al-Khaliq Abd-al-Ghafur
171,Humam Abd-al-Khaliq Abd-al-Ghafur
431,Houmam Abdel-Khalil Rachid
430,Houmam Abdel-Khalik Abdel-Rahman
429,Houmam Abdel-Khalik Abdel-Ghafour
181,Humam 'Abd-al-Khaliq Rashid
180,Humam 'Abd-al-Khaliq Rashid
179,Humam 'Abd-al-Khaliq Rashid
177,Humam 'Abd al-Khaliq 'Abd al-Rahman
175,Humam 'Abd al-Khaliq 'Abd al-Rahman
172,Humam Abd-al-Khaliq Abd-al-Ghafur
173,Humam 'Abd al-Khaliq 'Abd al-Rahman
187,Yahia Abdallah Al-Ubaidi
432,Yahia Abdalla Al-Oubaïdi
192,Nayif Shindakh Thamir Ghalib
191,Nayif Shindakh Thamir Ghalib
1455,Nayif Shindakh Thamir Ghalib
1446,Saif-al-Din Al-Machhadani
195,Saif-al-Din Al-Mashhadani
433,Saif-al-Din Al-Machhadani
200,Fadil Mahmud Gharib
434,Fadil Mahmoud Gharib
199,Fadil Mahmud Gharib
435,Gharib Mohammed Fazel al-Machaikhi
202,Gharib Muhammad Fazel al-Mashaikhi
203,Gharib Muhammad Fazel al-Mashaikhi
206,Muhsin Khadr Al-Khafaji
436,Mouhssin Khadr Al-Khafaji
208,Rashid Taan Kathim
437,Rachid Taan Kazim
211,Ugla Abid Sakr Al-Zubaisi
212,Saqr al-Kabisi Abd Aqala
438,Ougla Abid Sakr Al-Koubaïssi
439,Ghazi Hammoud Al-Oubaïdi
217,Ghazi Hammud Al-Ubaidi
218,Adil Abdallah Mahdi
219,Adil Abdallah Mahdi
221,Qaid Hussein Al-Awadi
220,Qaid Hussein Al-Awadi
1427,Qaid Hussein Al-Awadi
440,Qaid Hussein Al-Aouadi
223,Dr. Fnu Mnu Khamis
222,Khamis Sirhan Al-Muhammad
1429,Khamis Sirhan Al-Muhammad
1428,Khamis Sirhan Al-Muhammad
224,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti
441,Saad Abdul-Majid Al-Faissal Al-Tikriti
1430,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti
225,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti
263,Abdelkarim Hussein Mohamed AL-NASSER
264,Ibrahim Salih Mohammed AL YACOUB
