add,lbl,lega_id,wholeName
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,1,Robert Gabriel Mugabe
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,380,Abou Ali
EU,EU,19,Abu Ali
EU,EU,17,Saddam Hussein Al-Tikriti
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,381,Qoussaï Saddam Hussein Al-Tikriti
EU,EU,26,Qusay Saddam Hussein Al-Tikriti
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,29,Uday Saddam Hussein Al-Tikriti
EU,EU,383,Oudaï Saddam Hussein Al-Tikriti
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,384,Abid Hamid Mahmoud Al-Tikriti
EU,EU,35,Abed Mahmoud Hammud
EU,EU,385,Abid Hamid Bid Hamid Mahmoud
EU,EU,34,Abdel Hamid Mahmoud
EU,EU,32,Abid Hamid Bid Hamid Mahmud
EU,EU,31,Abid Hamid Mahmud Al-Tikriti
EU,EU,386,Abed Mahmoud Hammoud
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,39,Ali Hassan Al-Majid Al-Tikriti
EU,EU,40,Al-Kimawi
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,52,Abu Brays
EU,EU,54,Abu Brays
EU,EU,55,Abu Ahmad
EU,EU,56,Abu Ahmad
EU,EU,244,Izzat Ibrahim Al-Duri
EU,EU,387,Izzat Ibrahim al-Douri
EU,EU,44,Izzat Ibrahim al-Duri
EU,EU,45,Abu Brays
EU,EU,46,Abu Ahmad
EU,EU,49,Izzat Ibrahim al-Duri
EU,EU,51,Izzat Ibrahim al-Duri
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,388,Hani Abdel-Latif Tilfah Al-Tikriti
EU,EU,59,Hani Abd-Al-Latif Tilfah Al-Tikriti
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,64,Aziz Salih al-Numan
EU,EU,389,Aziz Salih al-Nouman
EU,EU,390,Aziz Salih al-Numan
EU,EU,245,Aziz Salih Al-Numan
EU,EU,63,Aziz Salih al-Numan
EU,EU,65,Aziz Salih al-Numan
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,391,Mohammed Hamza Zoubaïdi
EU,EU,68,Muhammad Hamza Zubaidi
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,72,Kamal Mustafa Abdallah
EU,EU,246,Kamal Mustafa Abdallah Sultan Al-Tikriti
EU,EU,392,Kamal Moustafa Abdallah
EU,EU,393,Kamal Moustafa Abdallah Soultan al-Tikriti
EU,EU,74,Kamal Mustafa Abdallah Sultan al-Tikriti
EU,EU,75,Kamal Mustafa Abdallah Sultan al-Tikriti
EU,EU,73,Kamal Mustafa Abdallah
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,NonEU,XXX,name
EU,EU,79,Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti
EU,EU,394,Barzan Abdel Ghafour Souleiman Majid Al-Tikriti
EU,EU,247,Barzan Razuki Abd Al-Ghafur
EU,EU,80,Barzan Razuki Abd al-Ghafur
