add,lbl,lega_id,wholeName
OFAC,OFAC,9640,ABU TEIR Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9641,AL-SHANTI Jamileh Abdullah
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9642,NU'MAN ALAEDDIN Mohammed Jamal
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9643,MANSOUR Yasser Daoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9644,RABAI Khalil Musa
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9645,AL-QREINAWI Huda Naim
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9646,AL-RAMAHI Mahmoud Ahmad
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9647,ZAHHAR Mahmoud Khaled
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9648,HASAN DUKHAN Abdul Fattah
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9649,DAHBOUR Ibrahim Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9650,SALEH Mariam Mahmoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9651,QAR'AWI Fathi Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9652,ZBOUN Anwar Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9653,NOFAL Imad Mahmoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9654,MATAR Omar Mahmoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9655,MANSOUR Muna Salim Saleh
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9656,AL-ABADSAH Yahia Abdul Aziz
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9657,BADER Mohammed Maher Yousef
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9658,DARAGHMEH Ayman Hussein
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9659,HAMMAD Fathi Ahmad Mohammad
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9660,FARHAT Mariam Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9661,ABU MSAMEH Sayyed Salem
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9662,ABU RAS Marwan Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9663,HALAYQAH Samira Abdullah
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9664,ISKEIK Jamal Ismail
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9665,ROUMANIN Ali Salim
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9666,ABU HALABIYYE Ahmad Yousef
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9667,FUQAHA Abdul Jaber Mustafa
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9668,DWEIK Aziz
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9669,SALHAB Azzam
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9670,RAMADAN Nizar
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9671,RJOUB Nayef
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9672,AL-QADI Samir
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9673,ABU JHEISHEH Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9674,QFEISHEH Hatem
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9675,ZA'ARIR Basem
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9676,AL-TAL Mohammed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9677,ABU SEIR Daoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9678,KHUDAIR Hamid Jabir
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9679,YASIN Husni Bourini
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9680,AMLI Riyad Ali
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9681,AHMAD Ahmad Ali
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9682,YOUSEF Hasan
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9683,HAMDAN Fadel
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9684,MUSLEH Mahmoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9685,MUBARAK Ahmad 'Abd al-Aziz
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9686,THWEIB Khaled Tafish
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9687,AL-KHATIB Mahmoud
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9688,YAHIA Khaled Abed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9689,ABU HASSAN Khaled
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9690,ZEIDAN Abdul Rahman Fahmi
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9691,RADDAD Riyad
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9692,ATTOUN Ahmad
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9693,ABU SALEM Ibrahim
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9694,TUTAH Mohammed Saleh
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9695,AL-HUSSEINI Wael
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9696,ABDUL JAWAD Naser
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9697,ABU TOS Khaled
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9698,NAJJAR Khamis
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9699,AL-BARDAWIL Salah
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9700,AL-ASTAL Younes
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9701,AL-JAMAL Abdul Rahman
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9702,SALAMEH Salem
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9703,SIAM Saeed
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9704,BAHAR Ahmad
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9705,SALEH Jamal
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9706,AL-HAYYEH Khalil
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9707,AL-GHOUL Mohammed Faraj
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9708,AL-HABAL Mushir
OFAC,NONOFAC,XXX,_NAME_
OFAC,OFAC,9709,UDWAN Atef
